source_subsets,condition,rows,accuracy,original_accuracy,accuracy_delta_from_original,active_tokens_mean,reconstruction_l1_mean,fixed_count,lost_count,kept_correct_count,kept_wrong_count
main_balanced_300_seed17,original,279,0.5913978494623656,0.5913978494623656,0.0,256.0,0.0,0,0,0,0
main_balanced_300_seed17,eps_003,279,0.5519713261648745,0.5913978494623656,-0.03942652329749108,244.27956989247312,0.04204690013970432,18,29,136,96
main_balanced_300_seed17,eps_005,279,0.4946236559139785,0.5913978494623656,-0.09677419354838712,180.78853046594983,0.04676950344061446,15,42,123,99
main_balanced_300_seed17,eps_007,279,0.46953405017921146,0.5913978494623656,-0.12186379928315416,105.6975806451613,0.059065268873187,22,56,109,92
main_balanced_300_seed17;same_video_controls_seed17,original,21,0.6190476190476191,0.6190476190476191,0.0,256.0,0.0,0,0,0,0
main_balanced_300_seed17;same_video_controls_seed17,eps_003,21,0.47619047619047616,0.6190476190476191,-0.1428571428571429,248.36309523809524,0.04356493952772802,0,3,10,8
main_balanced_300_seed17;same_video_controls_seed17,eps_005,21,0.38095238095238093,0.6190476190476191,-0.23809523809523814,193.9047619047619,0.04780897061296162,0,5,8,8
main_balanced_300_seed17;same_video_controls_seed17,eps_007,21,0.38095238095238093,0.6190476190476191,-0.23809523809523814,119.46428571428571,0.06056631446283843,1,6,7,7
same_video_controls_seed17,original,364,0.6565934065934066,0.6565934065934066,0.0,256.0,0.0,0,0,0,0
same_video_controls_seed17,eps_003,364,0.6181318681318682,0.6565934065934066,-0.038461538461538436,251.56662087912088,0.04361679900634604,20,34,205,105
same_video_controls_seed17,eps_005,364,0.6043956043956044,0.6565934065934066,-0.052197802197802234,198.96016483516485,0.047227999164753565,26,45,194,99
same_video_controls_seed17,eps_007,364,0.5851648351648352,0.6565934065934066,-0.0714285714285714,114.7503434065934,0.060024383289171486,33,59,180,92
